"gender" "admitted" "department"
"72" "female" "yes" "A"
"73" "female" "yes" "A"
"74" "female" "yes" "A"
"75" "female" "yes" "A"
"76" "female" "yes" "A"
"77" "female" "yes" "A"
"78" "female" "yes" "A"
"79" "female" "yes" "A"
"80" "female" "yes" "A"
"81" "female" "yes" "A"
"82" "female" "yes" "A"
"83" "female" "yes" "A"
"84" "female" "yes" "A"
"85" "female" "yes" "A"
"86" "female" "yes" "A"
"87" "female" "yes" "A"
"88" "female" "yes" "A"
"89" "female" "yes" "A"
"90" "female" "yes" "B"
"91" "female" "yes" "B"
"92" "female" "yes" "B"
"93" "female" "yes" "B"
"94" "female" "yes" "B"
"95" "female" "yes" "B"
"96" "female" "yes" "B"
"97" "female" "yes" "B"
"98" "female" "yes" "B"
"99" "female" "yes" "B"
"100" "female" "yes" "B"
"101" "female" "yes" "B"
"102" "female" "yes" "B"
"103" "female" "yes" "B"
"104" "female" "yes" "B"
"105" "female" "yes" "B"
"106" "female" "yes" "B"
"107" "female" "yes" "C"
"108" "female" "yes" "C"
"109" "female" "yes" "C"
"110" "female" "yes" "C"
"111" "female" "yes" "C"
"112" "female" "yes" "C"
"113" "female" "yes" "C"
"114" "female" "yes" "C"
"115" "female" "yes" "C"
"116" "female" "yes" "C"
"117" "female" "yes" "C"
"118" "female" "yes" "C"
"119" "female" "yes" "C"
"120" "female" "yes" "C"
"121" "female" "yes" "C"
"122" "female" "yes" "C"
"123" "female" "yes" "C"
"124" "female" "yes" "C"
"125" "female" "yes" "C"
"126" "female" "yes" "C"
"127" "female" "yes" "C"
"128" "female" "yes" "C"
"129" "female" "yes" "C"
"130" "female" "yes" "C"
"131" "female" "yes" "C"
"132" "female" "yes" "C"
"133" "female" "yes" "C"
"134" "female" "yes" "C"
"135" "female" "yes" "C"
"136" "female" "yes" "C"
"137" "female" "yes" "C"
"138" "female" "yes" "C"
"139" "female" "yes" "C"
"140" "female" "yes" "C"
"141" "female" "yes" "C"
"142" "female" "yes" "C"
"143" "female" "yes" "C"
"144" "female" "yes" "C"
"145" "female" "yes" "C"
"146" "female" "yes" "C"
"147" "female" "yes" "C"
"148" "female" "yes" "C"
"149" "female" "yes" "C"
"150" "female" "yes" "C"
"151" "female" "yes" "C"
"152" "female" "yes" "C"
"153" "female" "yes" "C"
"154" "female" "yes" "C"
"155" "female" "yes" "C"
"156" "female" "yes" "C"
"157" "female" "yes" "C"
"158" "female" "yes" "C"
"159" "female" "yes" "C"
"160" "female" "yes" "C"
"161" "female" "yes" "C"
"162" "female" "yes" "C"
"163" "female" "yes" "C"
"164" "female" "yes" "C"
"165" "female" "yes" "C"
"166" "female" "yes" "C"
"167" "female" "yes" "C"
"168" "female" "yes" "C"
"169" "female" "yes" "C"
"170" "female" "yes" "C"
"171" "female" "yes" "C"
"172" "female" "yes" "C"
"173" "female" "yes" "C"
"174" "female" "yes" "C"
"175" "female" "yes" "C"
"176" "female" "yes" "C"
"177" "female" "yes" "C"
"178" "female" "yes" "C"
"179" "female" "yes" "C"
"180" "female" "yes" "C"
"181" "female" "yes" "C"
"182" "female" "yes" "C"
"183" "female" "yes" "C"
"184" "female" "yes" "C"
"185" "female" "yes" "C"
"186" "female" "yes" "C"
"187" "female" "yes" "C"
"188" "female" "yes" "C"
"189" "female" "yes" "C"
"190" "female" "yes" "C"
"191" "female" "yes" "C"
"192" "female" "yes" "C"
"193" "female" "yes" "C"
"194" "female" "yes" "C"
"195" "female" "yes" "C"
"196" "female" "yes" "C"
"197" "female" "yes" "C"
"198" "female" "yes" "C"
"199" "female" "yes" "C"
"200" "female" "yes" "C"
"201" "female" "yes" "C"
"202" "female" "yes" "C"
"203" "female" "yes" "C"
"204" "female" "yes" "C"
"205" "female" "yes" "C"
"206" "female" "yes" "C"
"207" "female" "yes" "C"
"208" "female" "yes" "C"
"209" "female" "yes" "C"
"210" "female" "yes" "C"
"211" "female" "yes" "C"
"212" "female" "yes" "C"
"213" "female" "yes" "C"
"214" "female" "yes" "C"
"215" "female" "yes" "C"
"216" "female" "yes" "C"
"217" "female" "yes" "C"
"218" "female" "yes" "C"
"219" "female" "yes" "C"
"220" "female" "yes" "C"
"221" "female" "yes" "C"
"222" "female" "yes" "C"
"223" "female" "yes" "C"
"224" "female" "yes" "C"
"225" "female" "yes" "C"
"226" "female" "yes" "C"
"227" "female" "yes" "C"
"228" "female" "yes" "C"
"229" "female" "yes" "C"
"230" "female" "yes" "C"
"231" "female" "yes" "C"
"232" "female" "yes" "C"
"233" "female" "yes" "C"
"234" "female" "yes" "C"
"235" "female" "yes" "C"
"236" "female" "yes" "C"
"237" "female" "yes" "C"
"238" "female" "yes" "C"
"239" "female" "yes" "C"
"240" "female" "yes" "C"
"241" "female" "yes" "C"
"242" "female" "yes" "C"
"243" "female" "yes" "C"
"244" "female" "yes" "C"
"245" "female" "yes" "C"
"246" "female" "yes" "C"
"247" "female" "yes" "C"
"248" "female" "yes" "C"
"249" "female" "yes" "C"
"250" "female" "yes" "C"
"251" "female" "yes" "C"
"252" "female" "yes" "C"
"253" "female" "yes" "C"
"254" "female" "yes" "C"
"255" "female" "yes" "C"
"256" "female" "yes" "C"
"257" "female" "yes" "C"
"258" "female" "yes" "C"
"259" "female" "yes" "C"
"260" "female" "yes" "C"
"261" "female" "yes" "C"
"262" "female" "yes" "C"
"263" "female" "yes" "C"
"264" "female" "yes" "C"
"265" "female" "yes" "C"
"266" "female" "yes" "C"
"267" "female" "yes" "C"
"268" "female" "yes" "C"
"269" "female" "yes" "C"
"270" "female" "yes" "C"
"271" "female" "yes" "C"
"272" "female" "yes" "C"
"273" "female" "yes" "C"
"274" "female" "yes" "C"
"275" "female" "yes" "C"
"276" "female" "yes" "C"
"277" "female" "yes" "C"
"278" "female" "yes" "C"
"279" "female" "yes" "C"
"280" "female" "yes" "C"
"281" "female" "yes" "C"
"282" "female" "yes" "C"
"283" "female" "yes" "C"
"284" "female" "yes" "C"
"285" "female" "yes" "C"
"286" "female" "yes" "C"
"287" "female" "yes" "C"
"288" "female" "yes" "C"
"289" "female" "yes" "C"
"290" "female" "yes" "C"
"291" "female" "yes" "C"
"292" "female" "yes" "C"
"293" "female" "yes" "C"
"294" "female" "yes" "C"
"295" "female" "yes" "C"
"296" "female" "yes" "C"
"297" "female" "yes" "C"
"298" "female" "yes" "C"
"299" "female" "yes" "C"
"300" "female" "yes" "C"
"301" "female" "yes" "C"
"302" "female" "yes" "C"
"303" "female" "yes" "C"
"304" "female" "yes" "C"
"305" "female" "yes" "C"
"306" "female" "yes" "C"
"307" "female" "yes" "C"
"308" "female" "yes" "C"
"309" "female" "yes" "D"
"310" "female" "yes" "D"
"311" "female" "yes" "D"
"312" "female" "yes" "D"
"313" "female" "yes" "D"
"314" "female" "yes" "D"
"315" "female" "yes" "D"
"316" "female" "yes" "D"
"317" "female" "yes" "D"
"318" "female" "yes" "D"
"319" "female" "yes" "D"
"320" "female" "yes" "D"
"321" "female" "yes" "D"
"322" "female" "yes" "D"
"323" "female" "yes" "D"
"324" "female" "yes" "D"
"325" "female" "yes" "D"
"326" "female" "yes" "D"
"327" "female" "yes" "D"
"328" "female" "yes" "D"
"329" "female" "yes" "D"
"330" "female" "yes" "D"
"331" "female" "yes" "D"
"332" "female" "yes" "D"
"333" "female" "yes" "D"
"334" "female" "yes" "D"
"335" "female" "yes" "D"
"336" "female" "yes" "D"
"337" "female" "yes" "D"
"338" "female" "yes" "D"
"339" "female" "yes" "D"
"340" "female" "yes" "D"
"341" "female" "yes" "D"
"342" "female" "yes" "D"
"343" "female" "yes" "D"
"344" "female" "yes" "D"
"345" "female" "yes" "D"
"346" "female" "yes" "D"
"347" "female" "yes" "D"
"348" "female" "yes" "D"
"349" "female" "yes" "D"
"350" "female" "yes" "D"
"351" "female" "yes" "D"
"352" "female" "yes" "D"
"353" "female" "yes" "D"
"354" "female" "yes" "D"
"355" "female" "yes" "D"
"356" "female" "yes" "D"
"357" "female" "yes" "D"
"358" "female" "yes" "D"
"359" "female" "yes" "D"
"360" "female" "yes" "D"
"361" "female" "yes" "D"
"362" "female" "yes" "D"
"363" "female" "yes" "D"
"364" "female" "yes" "D"
"365" "female" "yes" "D"
"366" "female" "yes" "D"
"367" "female" "yes" "D"
"368" "female" "yes" "D"
"369" "female" "yes" "D"
"370" "female" "yes" "D"
"371" "female" "yes" "D"
"372" "female" "yes" "D"
"373" "female" "yes" "D"
"374" "female" "yes" "D"
"375" "female" "yes" "D"
"376" "female" "yes" "D"
"377" "female" "yes" "D"
"378" "female" "yes" "D"
"379" "female" "yes" "D"
"380" "female" "yes" "D"
"381" "female" "yes" "D"
"382" "female" "yes" "D"
"383" "female" "yes" "D"
"384" "female" "yes" "D"
"385" "female" "yes" "D"
"386" "female" "yes" "D"
"387" "female" "yes" "D"
"388" "female" "yes" "D"
"389" "female" "yes" "D"
"390" "female" "yes" "D"
"391" "female" "yes" "D"
"392" "female" "yes" "D"
"393" "female" "yes" "D"
"394" "female" "yes" "D"
"395" "female" "yes" "D"
"396" "female" "yes" "D"
"397" "female" "yes" "D"
"398" "female" "yes" "D"
"399" "female" "yes" "D"
"400" "female" "yes" "D"
"401" "female" "yes" "D"
"402" "female" "yes" "D"
"403" "female" "yes" "D"
"404" "female" "yes" "D"
"405" "female" "yes" "D"
"406" "female" "yes" "D"
"407" "female" "yes" "D"
"408" "female" "yes" "D"
"409" "female" "yes" "D"
"410" "female" "yes" "D"
"411" "female" "yes" "D"
"412" "female" "yes" "D"
"413" "female" "yes" "D"
"414" "female" "yes" "D"
"415" "female" "yes" "D"
"416" "female" "yes" "D"
"417" "female" "yes" "D"
"418" "female" "yes" "D"
"419" "female" "yes" "D"
"420" "female" "yes" "D"
"421" "female" "yes" "D"
"422" "female" "yes" "D"
"423" "female" "yes" "D"
"424" "female" "yes" "D"
"425" "female" "yes" "D"
"426" "female" "yes" "D"
"427" "female" "yes" "D"
"428" "female" "yes" "D"
"429" "female" "yes" "D"
"430" "female" "yes" "D"
"431" "female" "yes" "D"
"432" "female" "yes" "D"
"433" "female" "yes" "D"
"434" "female" "yes" "D"
"435" "female" "yes" "D"
"436" "female" "yes" "D"
"437" "female" "yes" "D"
"438" "female" "yes" "D"
"439" "female" "yes" "D"
"440" "female" "yes" "E"
"441" "female" "yes" "E"
"442" "female" "yes" "E"
"443" "female" "yes" "E"
"444" "female" "yes" "E"
"445" "female" "yes" "E"
"446" "female" "yes" "E"
"447" "female" "yes" "E"
"448" "female" "yes" "E"
"449" "female" "yes" "E"
"450" "female" "yes" "E"
"451" "female" "yes" "E"
"452" "female" "yes" "E"
"453" "female" "yes" "E"
"454" "female" "yes" "E"
"455" "female" "yes" "E"
"456" "female" "yes" "E"
"457" "female" "yes" "E"
"458" "female" "yes" "E"
"459" "female" "yes" "E"
"460" "female" "yes" "E"
"461" "female" "yes" "E"
"462" "female" "yes" "E"
"463" "female" "yes" "E"
"464" "female" "yes" "E"
"465" "female" "yes" "E"
"466" "female" "yes" "E"
"467" "female" "yes" "E"
"468" "female" "yes" "E"
"469" "female" "yes" "E"
"470" "female" "yes" "E"
"471" "female" "yes" "E"
"472" "female" "yes" "E"
"473" "female" "yes" "E"
"474" "female" "yes" "E"
"475" "female" "yes" "E"
"476" "female" "yes" "E"
"477" "female" "yes" "E"
"478" "female" "yes" "E"
"479" "female" "yes" "E"
"480" "female" "yes" "E"
"481" "female" "yes" "E"
"482" "female" "yes" "E"
"483" "female" "yes" "E"
"484" "female" "yes" "E"
"485" "female" "yes" "E"
"486" "female" "yes" "E"
"487" "female" "yes" "E"
"488" "female" "yes" "E"
"489" "female" "yes" "E"
"490" "female" "yes" "E"
"491" "female" "yes" "E"
"492" "female" "yes" "E"
"493" "female" "yes" "E"
"494" "female" "yes" "E"
"495" "female" "yes" "E"
"496" "female" "yes" "E"
"497" "female" "yes" "E"
"498" "female" "yes" "E"
"499" "female" "yes" "E"
"500" "female" "yes" "E"
"501" "female" "yes" "E"
"502" "female" "yes" "E"
"503" "female" "yes" "E"
"504" "female" "yes" "E"
"505" "female" "yes" "E"
"506" "female" "yes" "E"
"507" "female" "yes" "E"
"508" "female" "yes" "E"
"509" "female" "yes" "E"
"510" "female" "yes" "E"
"511" "female" "yes" "E"
"512" "female" "yes" "E"
"513" "female" "yes" "E"
"514" "female" "yes" "E"
"515" "female" "yes" "E"
"516" "female" "yes" "E"
"517" "female" "yes" "E"
"518" "female" "yes" "E"
"519" "female" "yes" "E"
"520" "female" "yes" "E"
"521" "female" "yes" "E"
"522" "female" "yes" "E"
"523" "female" "yes" "E"
"524" "female" "yes" "E"
"525" "female" "yes" "E"
"526" "female" "yes" "E"
"527" "female" "yes" "E"
"528" "female" "yes" "E"
"529" "female" "yes" "E"
"530" "female" "yes" "E"
"531" "female" "yes" "E"
"532" "female" "yes" "E"
"533" "female" "yes" "E"
"534" "female" "yes" "F"
"535" "female" "yes" "F"
"536" "female" "yes" "F"
"537" "female" "yes" "F"
"538" "female" "yes" "F"
"539" "female" "yes" "F"
"540" "female" "yes" "F"
"541" "female" "yes" "F"
"542" "female" "yes" "F"
"543" "female" "yes" "F"
"544" "female" "yes" "F"
"545" "female" "yes" "F"
"546" "female" "yes" "F"
"547" "female" "yes" "F"
"548" "female" "yes" "F"
"549" "female" "yes" "F"
"550" "female" "yes" "F"
"551" "female" "yes" "F"
"552" "female" "yes" "F"
"553" "female" "yes" "F"
"554" "female" "yes" "F"
"555" "female" "yes" "F"
"556" "female" "yes" "F"
"557" "female" "yes" "F"
"558" "female" "no" "A"
"559" "female" "no" "A"
"560" "female" "no" "A"
"561" "female" "no" "A"
"562" "female" "no" "A"
"563" "female" "no" "A"
"564" "female" "no" "A"
"565" "female" "no" "A"
"566" "female" "no" "A"
"567" "female" "no" "A"
"568" "female" "no" "A"
"569" "female" "no" "A"
"570" "female" "no" "A"
"571" "female" "no" "A"
"572" "female" "no" "A"
"573" "female" "no" "A"
"574" "female" "no" "A"
"575" "female" "no" "A"
"576" "female" "no" "A"
"577" "female" "no" "B"
"578" "female" "no" "B"
"579" "female" "no" "B"
"580" "female" "no" "B"
"581" "female" "no" "B"
"582" "female" "no" "B"
"583" "female" "no" "B"
"584" "female" "no" "B"
"585" "female" "no" "C"
"586" "female" "no" "C"
"587" "female" "no" "C"
"588" "female" "no" "C"
"589" "female" "no" "C"
"590" "female" "no" "C"
"591" "female" "no" "C"
"592" "female" "no" "C"
"593" "female" "no" "C"
"594" "female" "no" "C"
"595" "female" "no" "C"
"596" "female" "no" "C"
"597" "female" "no" "C"
"598" "female" "no" "C"
"599" "female" "no" "C"
"600" "female" "no" "C"
"601" "female" "no" "C"
"602" "female" "no" "C"
"603" "female" "no" "C"
"604" "female" "no" "C"
"605" "female" "no" "C"
"606" "female" "no" "C"
"607" "female" "no" "C"
"608" "female" "no" "C"
"609" "female" "no" "C"
"610" "female" "no" "C"
"611" "female" "no" "C"
"612" "female" "no" "C"
"613" "female" "no" "C"
"614" "female" "no" "C"
"615" "female" "no" "C"
"616" "female" "no" "C"
"617" "female" "no" "C"
"618" "female" "no" "C"
"619" "female" "no" "C"
"620" "female" "no" "C"
"621" "female" "no" "C"
"622" "female" "no" "C"
"623" "female" "no" "C"
"624" "female" "no" "C"
"625" "female" "no" "C"
"626" "female" "no" "C"
"627" "female" "no" "C"
"628" "female" "no" "C"
"629" "female" "no" "C"
"630" "female" "no" "C"
"631" "female" "no" "C"
"632" "female" "no" "C"
"633" "female" "no" "C"
"634" "female" "no" "C"
"635" "female" "no" "C"
"636" "female" "no" "C"
"637" "female" "no" "C"
"638" "female" "no" "C"
"639" "female" "no" "C"
"640" "female" "no" "C"
"641" "female" "no" "C"
"642" "female" "no" "C"
"643" "female" "no" "C"
"644" "female" "no" "C"
"645" "female" "no" "C"
"646" "female" "no" "C"
"647" "female" "no" "C"
"648" "female" "no" "C"
"649" "female" "no" "C"
"650" "female" "no" "C"
"651" "female" "no" "C"
"652" "female" "no" "C"
"653" "female" "no" "C"
"654" "female" "no" "C"
"655" "female" "no" "C"
"656" "female" "no" "C"
"657" "female" "no" "C"
"658" "female" "no" "C"
"659" "female" "no" "C"
"660" "female" "no" "C"
"661" "female" "no" "C"
"662" "female" "no" "C"
"663" "female" "no" "C"
"664" "female" "no" "C"
"665" "female" "no" "C"
"666" "female" "no" "C"
"667" "female" "no" "C"
"668" "female" "no" "C"
"669" "female" "no" "C"
"670" "female" "no" "C"
"671" "female" "no" "C"
"672" "female" "no" "C"
"673" "female" "no" "C"
"674" "female" "no" "C"
"675" "female" "no" "C"
"676" "female" "no" "C"
"677" "female" "no" "C"
"678" "female" "no" "C"
"679" "female" "no" "C"
"680" "female" "no" "C"
"681" "female" "no" "C"
"682" "female" "no" "C"
"683" "female" "no" "C"
"684" "female" "no" "C"
"685" "female" "no" "C"
"686" "female" "no" "C"
"687" "female" "no" "C"
"688" "female" "no" "C"
"689" "female" "no" "C"
"690" "female" "no" "C"
"691" "female" "no" "C"
"692" "female" "no" "C"
"693" "female" "no" "C"
"694" "female" "no" "C"
"695" "female" "no" "C"
"696" "female" "no" "C"
"697" "female" "no" "C"
"698" "female" "no" "C"
"699" "female" "no" "C"
"700" "female" "no" "C"
"701" "female" "no" "C"
"702" "female" "no" "C"
"703" "female" "no" "C"
"704" "female" "no" "C"
"705" "female" "no" "C"
"706" "female" "no" "C"
"707" "female" "no" "C"
"708" "female" "no" "C"
"709" "female" "no" "C"
"710" "female" "no" "C"
"711" "female" "no" "C"
"712" "female" "no" "C"
"713" "female" "no" "C"
"714" "female" "no" "C"
"715" "female" "no" "C"
"716" "female" "no" "C"
"717" "female" "no" "C"
"718" "female" "no" "C"
"719" "female" "no" "C"
"720" "female" "no" "C"
"721" "female" "no" "C"
"722" "female" "no" "C"
"723" "female" "no" "C"
"724" "female" "no" "C"
"725" "female" "no" "C"
"726" "female" "no" "C"
"727" "female" "no" "C"
"728" "female" "no" "C"
"729" "female" "no" "C"
"730" "female" "no" "C"
"731" "female" "no" "C"
"732" "female" "no" "C"
"733" "female" "no" "C"
"734" "female" "no" "C"
"735" "female" "no" "C"
"736" "female" "no" "C"
"737" "female" "no" "C"
"738" "female" "no" "C"
"739" "female" "no" "C"
"740" "female" "no" "C"
"741" "female" "no" "C"
"742" "female" "no" "C"
"743" "female" "no" "C"
"744" "female" "no" "C"
"745" "female" "no" "C"
"746" "female" "no" "C"
"747" "female" "no" "C"
"748" "female" "no" "C"
"749" "female" "no" "C"
"750" "female" "no" "C"
"751" "female" "no" "C"
"752" "female" "no" "C"
"753" "female" "no" "C"
"754" "female" "no" "C"
"755" "female" "no" "C"
"756" "female" "no" "C"
"757" "female" "no" "C"
"758" "female" "no" "C"
"759" "female" "no" "C"
"760" "female" "no" "C"
"761" "female" "no" "C"
"762" "female" "no" "C"
"763" "female" "no" "C"
"764" "female" "no" "C"
"765" "female" "no" "C"
"766" "female" "no" "C"
"767" "female" "no" "C"
"768" "female" "no" "C"
"769" "female" "no" "C"
"770" "female" "no" "C"
"771" "female" "no" "C"
"772" "female" "no" "C"
"773" "female" "no" "C"
"774" "female" "no" "C"
"775" "female" "no" "C"
"776" "female" "no" "C"
"777" "female" "no" "C"
"778" "female" "no" "C"
"779" "female" "no" "C"
"780" "female" "no" "C"
"781" "female" "no" "C"
"782" "female" "no" "C"
"783" "female" "no" "C"
"784" "female" "no" "C"
"785" "female" "no" "C"
"786" "female" "no" "C"
"787" "female" "no" "C"
"788" "female" "no" "C"
"789" "female" "no" "C"
"790" "female" "no" "C"
"791" "female" "no" "C"
"792" "female" "no" "C"
"793" "female" "no" "C"
"794" "female" "no" "C"
"795" "female" "no" "C"
"796" "female" "no" "C"
"797" "female" "no" "C"
"798" "female" "no" "C"
"799" "female" "no" "C"
"800" "female" "no" "C"
"801" "female" "no" "C"
"802" "female" "no" "C"
"803" "female" "no" "C"
"804" "female" "no" "C"
"805" "female" "no" "C"
"806" "female" "no" "C"
"807" "female" "no" "C"
"808" "female" "no" "C"
"809" "female" "no" "C"
"810" "female" "no" "C"
"811" "female" "no" "C"
"812" "female" "no" "C"
"813" "female" "no" "C"
"814" "female" "no" "C"
"815" "female" "no" "C"
"816" "female" "no" "C"
"817" "female" "no" "C"
"818" "female" "no" "C"
"819" "female" "no" "C"
"820" "female" "no" "C"
"821" "female" "no" "C"
"822" "female" "no" "C"
"823" "female" "no" "C"
"824" "female" "no" "C"
"825" "female" "no" "C"
"826" "female" "no" "C"
"827" "female" "no" "C"
"828" "female" "no" "C"
"829" "female" "no" "C"
"830" "female" "no" "C"
"831" "female" "no" "C"
"832" "female" "no" "C"
"833" "female" "no" "C"
"834" "female" "no" "C"
"835" "female" "no" "C"
"836" "female" "no" "C"
"837" "female" "no" "C"
"838" "female" "no" "C"
"839" "female" "no" "C"
"840" "female" "no" "C"
"841" "female" "no" "C"
"842" "female" "no" "C"
"843" "female" "no" "C"
"844" "female" "no" "C"
"845" "female" "no" "C"
"846" "female" "no" "C"
"847" "female" "no" "C"
"848" "female" "no" "C"
"849" "female" "no" "C"
"850" "female" "no" "C"
"851" "female" "no" "C"
"852" "female" "no" "C"
"853" "female" "no" "C"
"854" "female" "no" "C"
"855" "female" "no" "C"
"856" "female" "no" "C"
"857" "female" "no" "C"
"858" "female" "no" "C"
"859" "female" "no" "C"
"860" "female" "no" "C"
"861" "female" "no" "C"
"862" "female" "no" "C"
"863" "female" "no" "C"
"864" "female" "no" "C"
"865" "female" "no" "C"
"866" "female" "no" "C"
"867" "female" "no" "C"
"868" "female" "no" "C"
"869" "female" "no" "C"
"870" "female" "no" "C"
"871" "female" "no" "C"
"872" "female" "no" "C"
"873" "female" "no" "C"
"874" "female" "no" "C"
"875" "female" "no" "C"
"876" "female" "no" "C"
"877" "female" "no" "C"
"878" "female" "no" "C"
"879" "female" "no" "C"
"880" "female" "no" "C"
"881" "female" "no" "C"
"882" "female" "no" "C"
"883" "female" "no" "C"
"884" "female" "no" "C"
"885" "female" "no" "C"
"886" "female" "no" "C"
"887" "female" "no" "C"
"888" "female" "no" "C"
"889" "female" "no" "C"
"890" "female" "no" "C"
"891" "female" "no" "C"
"892" "female" "no" "C"
"893" "female" "no" "C"
"894" "female" "no" "C"
"895" "female" "no" "C"
"896" "female" "no" "C"
"897" "female" "no" "C"
"898" "female" "no" "C"
"899" "female" "no" "C"
"900" "female" "no" "C"
"901" "female" "no" "C"
"902" "female" "no" "C"
"903" "female" "no" "C"
"904" "female" "no" "C"
"905" "female" "no" "C"
"906" "female" "no" "C"
"907" "female" "no" "C"
"908" "female" "no" "C"
"909" "female" "no" "C"
"910" "female" "no" "C"
"911" "female" "no" "C"
"912" "female" "no" "C"
"913" "female" "no" "C"
"914" "female" "no" "C"
"915" "female" "no" "C"
"916" "female" "no" "C"
"917" "female" "no" "C"
"918" "female" "no" "C"
"919" "female" "no" "C"
"920" "female" "no" "C"
"921" "female" "no" "C"
"922" "female" "no" "C"
"923" "female" "no" "C"
"924" "female" "no" "C"
"925" "female" "no" "C"
"926" "female" "no" "C"
"927" "female" "no" "C"
"928" "female" "no" "C"
"929" "female" "no" "C"
"930" "female" "no" "C"
"931" "female" "no" "C"
"932" "female" "no" "C"
"933" "female" "no" "C"
"934" "female" "no" "C"
"935" "female" "no" "C"
"936" "female" "no" "C"
"937" "female" "no" "C"
"938" "female" "no" "C"
"939" "female" "no" "C"
"940" "female" "no" "C"
"941" "female" "no" "C"
"942" "female" "no" "C"
"943" "female" "no" "C"
"944" "female" "no" "C"
"945" "female" "no" "C"
"946" "female" "no" "C"
"947" "female" "no" "C"
"948" "female" "no" "C"
"949" "female" "no" "C"
"950" "female" "no" "C"
"951" "female" "no" "C"
"952" "female" "no" "C"
"953" "female" "no" "C"
"954" "female" "no" "C"
"955" "female" "no" "C"
"956" "female" "no" "C"
"957" "female" "no" "C"
"958" "female" "no" "C"
"959" "female" "no" "C"
"960" "female" "no" "C"
"961" "female" "no" "C"
"962" "female" "no" "C"
"963" "female" "no" "C"
"964" "female" "no" "C"
"965" "female" "no" "C"
"966" "female" "no" "C"
"967" "female" "no" "C"
"968" "female" "no" "C"
"969" "female" "no" "C"
"970" "female" "no" "C"
"971" "female" "no" "C"
"972" "female" "no" "C"
"973" "female" "no" "C"
"974" "female" "no" "C"
"975" "female" "no" "C"
"976" "female" "no" "D"
"977" "female" "no" "D"
"978" "female" "no" "D"
"979" "female" "no" "D"
"980" "female" "no" "D"
"981" "female" "no" "D"
"982" "female" "no" "D"
"983" "female" "no" "D"
"984" "female" "no" "D"
"985" "female" "no" "D"
"986" "female" "no" "D"
"987" "female" "no" "D"
"988" "female" "no" "D"
"989" "female" "no" "D"
"990" "female" "no" "D"
"991" "female" "no" "D"
"992" "female" "no" "D"
"993" "female" "no" "D"
"994" "female" "no" "D"
"995" "female" "no" "D"
"996" "female" "no" "D"
"997" "female" "no" "D"
"998" "female" "no" "D"
"999" "female" "no" "D"
"1000" "female" "no" "D"
"1001" "female" "no" "D"
"1002" "female" "no" "D"
"1003" "female" "no" "D"
"1004" "female" "no" "D"
"1005" "female" "no" "D"
"1006" "female" "no" "D"
"1007" "female" "no" "D"
"1008" "female" "no" "D"
"1009" "female" "no" "D"
"1010" "female" "no" "D"
"1011" "female" "no" "D"
"1012" "female" "no" "D"
"1013" "female" "no" "D"
"1014" "female" "no" "D"
"1015" "female" "no" "D"
"1016" "female" "no" "D"
"1017" "female" "no" "D"
"1018" "female" "no" "D"
"1019" "female" "no" "D"
"1020" "female" "no" "D"
"1021" "female" "no" "D"
"1022" "female" "no" "D"
"1023" "female" "no" "D"
"1024" "female" "no" "D"
"1025" "female" "no" "D"
"1026" "female" "no" "D"
"1027" "female" "no" "D"
"1028" "female" "no" "D"
"1029" "female" "no" "D"
